flow_id,ui_action,endpoint,backend_service_fn,db_query_source,response_component,error_path,cache_path,auth_dependency,status
FE-009,bar click drill (phys-inv level0),GET /api/v1/physical-inventory/overview/by-role,dc_service.get_physical_inventory_overview_by_role,discovery_rack.PHYSICAL_INVENTORY_BY_ROLE (webui-db),phys-inv-overview-chart.figure,empty list -> no chart update,api_client._api_cache_get_with_stale + backend webui-db cache,verify_api_user (JWT) + can_view(home),complete
FE-010,bar click drill (phys-inv level1),GET /api/v1/physical-inventory/overview/manufacturer,dc_service.get_physical_inventory_overview_manufacturer,discovery_rack.PHYSICAL_INVENTORY_BY_MANUFACTURER,phys-inv-overview-chart.figure,empty list -> no chart update,as above,verify_api_user + can_view(home),complete
FE-011,bar click drill (phys-inv level2),GET /api/v1/physical-inventory/overview/location,dc_service.get_physical_inventory_overview_location,discovery_rack.PHYSICAL_INVENTORY_BY_LOCATION,phys-inv-overview-chart.figure,empty list -> no chart update,as above,verify_api_user + can_view(home),complete
FE-012,page-load home,GET /api/v1/dashboard/overview,dc_service.get_global_dashboard,nutanix/vmware/ibm/energy BATCH (bulutlake),home overview KPI cards,_EMPTY_DASHBOARD fallback,LRU + Redis db=0 (TTL 900s dev / 3600s prod),verify_api_user + can_view(home),complete
FE-013,page-load home,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,loki+nutanix+vmware+ibm+energy (bulutlake),DC list table on home,empty list -> empty grid,LRU + Redis,verify_api_user + can_view(home),complete
FE-015,page-load home,GET /api/v1/sla,dc_service.sla_service.get_sla_data,external SLA HTTP + Redis,sla strip on home,empty by_dc -> blank SLA,LRU + Redis,verify_api_user + can_view(home),complete
FE-016,page-load home,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability (AuraNotify bridge),external AuraNotify /api/sla/datacenter-services,sla strip on home,empty items -> blank,LRU + Redis,verify_api_user + can_view(home),complete
FE-018,page-load datacenters,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake BATCH queries,datacenters table,empty list -> empty grid,LRU + Redis,verify_api_user + can_view(datacenters),complete
FE-019,page-load datacenters,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability,AuraNotify external,datacenter availability column,empty -> N/A column,LRU + Redis,verify_api_user + can_view(datacenters),complete
FE-021,page-load dc_view,GET /api/v1/datacenters/{dc_code},dc_service.get_dc_details,bulutlake (nutanix+vmware+ibm+energy),dc_view header KPIs + tabs,_EMPTY_DC_DETAIL fallback,LRU + Redis,verify_api_user + can_view(dc_view),complete
FE-022,page-load dc_view,GET /api/v1/datacenters/{dc_code}/clusters/classic,dc_service.get_classic_cluster_list,vmware_cluster_metrics,classic cluster selector data,empty list -> selector empty,LRU + Redis,verify_api_user,complete
FE-023,page-load dc_view,GET /api/v1/datacenters/{dc_code}/clusters/hyperconverged,dc_service.get_hyperconv_cluster_list,nutanix_cluster_metrics,hyperconv cluster selector data,empty list,LRU + Redis,verify_api_user,complete
FE-024,page-load dc_view,GET /api/v1/datacenters/{dc_code}/compute/classic,dc_service.get_classic_metrics_filtered,vmware FILTERED queries,classic-virt-panel,empty dict,LRU + Redis,verify_api_user,complete
FE-025,page-load dc_view,GET /api/v1/datacenters/{dc_code}/compute/hyperconverged,dc_service.get_hyperconv_metrics_filtered,nutanix FILTERED queries,hyperconv-virt-panel,empty dict,LRU + Redis,verify_api_user,complete
FE-026,page-load dc_view sellable section,GET /api/v1/datacenters/{dc_code}/sales-potential/v2,dc_sales_potential_v2.compute_sales_potential_v2,crm_potential + nutanix + threshold (composite),dc_view sales-potential card,empty dict,LRU + Redis,verify_api_user,complete
FE-027,page-load dc_view Network tab,GET /api/v1/datacenters/{dc_code}/network/filters,dc_service.get_network_filters,zabbix_network.LATEST_DEVICES,net-filters-store + selectors,empty dict,LRU + Redis,verify_api_user,complete
FE-028,page-load dc_view Power section,GET /api/v1/datacenters/{dc_code}/physical-inventory,dc_service.get_physical_inventory_dc,discovery_rack.PHYSICAL_INVENTORY_DC,phys-inv table,empty,LRU + Redis,verify_api_user,complete
FE-029,page-load dc_view Intel Storage,GET /api/v1/datacenters/{dc_code}/zabbix-storage/devices,dc_service.get_zabbix_storage_devices,zabbix_storage.DEVICES_LIST,intel-storage-device-selector,empty list,LRU + Redis,verify_api_user,complete
FE-030,page-load dc_view SAN,GET /api/v1/datacenters/{dc_code}/san/switches,dc_service.get_san_switches,brocade.SWITCH_HOSTS_IN_RANGE,SAN switch list,empty list,LRU + Redis,verify_api_user,complete
FE-031,page-load dc_view SAN,GET /api/v1/datacenters/{dc_code}/san/port-usage,dc_service.get_san_port_usage,brocade.PORT_USAGE_LATEST,SAN port utilization card,empty dict,LRU + Redis,verify_api_user,complete
FE-032,page-load dc_view SAN,GET /api/v1/datacenters/{dc_code}/san/health,dc_service.get_san_health_alerts,brocade.HEALTH_ALERTS,SAN health alerts table,empty list,LRU + Redis,verify_api_user,complete
FE-033,page-load dc_view SAN,GET /api/v1/datacenters/{dc_code}/san/traffic-trend,dc_service.get_san_traffic_trend,brocade.TRAFFIC_TREND,SAN traffic trend chart,empty list,LRU + Redis,verify_api_user,complete
FE-034,page-load dc_view SAN,GET /api/v1/datacenters/{dc_code}/san/bottleneck,dc_service.get_san_bottleneck,brocade.BOTTLENECK_ANALYSIS,SAN bottleneck card,empty dict,LRU + Redis,verify_api_user,complete
FE-035,page-load dc_view Power Storage,GET /api/v1/datacenters/{dc_code}/storage/capacity,dc_service.get_storage_capacity,ibm_storage.CAPACITY_LATEST,storage capacity card,empty dict,LRU + Redis,verify_api_user,complete
FE-036,page-load dc_view Power Storage,GET /api/v1/datacenters/{dc_code}/storage/performance,dc_service.get_storage_performance,ibm_storage.PERFORMANCE_TREND,storage performance card,empty dict,LRU + Redis,verify_api_user,complete
FE-037,classic cluster selector change,GET /api/v1/datacenters/{dc_code}/compute/classic,dc_service.get_classic_metrics_filtered,vmware FILTERED queries,classic-virt-panel,no_update,LRU + Redis,verify_api_user,complete
FE-038,hyperconv cluster selector change,GET /api/v1/datacenters/{dc_code}/compute/hyperconverged,dc_service.get_hyperconv_metrics_filtered,nutanix FILTERED queries,hyperconv-virt-panel,no_update,LRU + Redis,verify_api_user,complete
FE-039,classic cluster change → sellable card,GET /api/v1/crm/sellable-potential/by-panel,sellable_service.compute_all_panels,webui-db (gui_panel_*) + dc-api compute (HTTP),sellable-classic-card,no_update / empty list,LRU + Redis(db=2 crm-engine),verify_api_user,complete
FE-040,hyperconv cluster change → sellable card,GET /api/v1/crm/sellable-potential/by-panel,sellable_service.compute_all_panels,webui-db + dc-api compute,sellable-hyperconv-card,no_update / empty list,LRU + Redis(db=2),verify_api_user,complete
FE-041,virt total sellable composite,GET /api/v1/crm/sellable-potential/by-panel (×4 families),sellable_service.compute_all_panels (per family),webui-db + dc-api compute,sellable-virt-total-card,empty / try/except per family,LRU + Redis(db=2),verify_api_user,complete
FE-042,s3 pool selector change,GET /api/v1/datacenters/{dc_code}/s3/pools,dc_service.get_dc_s3_pools,s3.POOL_LIST + LATEST + FIRST_LAST,s3-dc-metrics-panel,empty pools -> html.Div(),LRU + Redis,verify_api_user,complete
FE-043,netbackup pool selector change,GET /api/v1/datacenters/{dc_code}/backup/netbackup,dc_service.get_dc_netbackup_pools,backup.NETBACKUP_DISK_POOLS_LATEST,backup-netbackup-panel,empty pools,LRU + Redis,verify_api_user,complete
FE-044,zerto site selector change,GET /api/v1/datacenters/{dc_code}/backup/zerto,dc_service.get_dc_zerto_sites,backup.ZERTO_SITES_LATEST,backup-zerto-panel,empty sites,LRU + Redis,verify_api_user,complete
FE-045,veeam repo selector change,GET /api/v1/datacenters/{dc_code}/backup/veeam,dc_service.get_dc_veeam_repos,backup.VEEAM_REPOS_LATEST,backup-veeam-panel,empty repos,LRU + Redis,verify_api_user,complete
FE-047,network selector change,GET /api/v1/datacenters/{dc_code}/network/port-summary,dc_service.get_network_port_summary,zabbix_network.PORT_SUMMARY,net-kpi-container + 3 donuts,no_update,LRU + Redis,verify_api_user,complete
FE-048,network selector change,GET /api/v1/datacenters/{dc_code}/network/95th-percentile,dc_service.get_network_95th_percentile,zabbix_network.PERCENTILE_95,net-top-interfaces-bar,no_update,LRU + Redis,verify_api_user,complete
FE-049,network interface table search/page,GET /api/v1/datacenters/{dc_code}/network/interface-table,dc_service.get_network_interface_table,zabbix_network.INTERFACE_TABLE_PAGINATED,net-interface-table.data,empty list,LRU + Redis,verify_api_user,complete
FE-050,intel storage device select,GET /api/v1/datacenters/{dc_code}/zabbix-storage/capacity,dc_service.get_zabbix_storage_capacity,zabbix_storage.CAPACITY_LATEST,intel donut figures,no_update,LRU + Redis,verify_api_user,complete
FE-051,intel storage device select,GET /api/v1/datacenters/{dc_code}/zabbix-storage/trend,dc_service.get_zabbix_storage_trend,zabbix_storage.CAPACITY_TREND,intel-capacity-trend-chart,no_update,LRU + Redis,verify_api_user,complete
FE-052,intel storage device select,GET /api/v1/datacenters/{dc_code}/zabbix-storage/disk-list,dc_service.get_zabbix_disk_list,zabbix_storage.DISK_LIST,intel-disk-container,host=None -> placeholder,LRU + Redis,verify_api_user,complete
FE-053,intel disk select,GET /api/v1/datacenters/{dc_code}/zabbix-storage/disk-trend,dc_service.get_zabbix_disk_trend,zabbix_storage.DISK_TREND,intel-disk-trend-container,host=None|disk=None -> blank,LRU + Redis,verify_api_user,complete
FE-055,page-load dc_detail,GET /api/v1/datacenters/{dc_code} + /racks,dc_service.get_dc_details + get_dc_racks,bulutlake + webui-db,main-content,empty payloads,LRU + Redis + webui-db cache,verify_api_user + can_view(dc_detail),complete
FE-056,page-load global_view,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake batches,globe pin layer,empty list,LRU + Redis,verify_api_user + can_view(global_view),complete
FE-057,page-load global_view,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability,AuraNotify external,SLA overlay on pins,empty list,LRU + Redis,verify_api_user,complete
FE-058,page-load prefetch (background),GET multiple,multiple,many,N/A (background warm),caught and logged,LRU + Redis,verify_api_user (uses tls client),complete
FE-059,globe pin click,GET /api/v1/datacenters/{dc_code},dc_service.get_dc_details,bulutlake,global-detail-panel,empty payload -> empty card,LRU + Redis,verify_api_user,complete
FE-061,open 3D click,GET /api/v1/datacenters/{dc_code} + /racks,dc_service.get_dc_details + get_dc_racks,bulutlake + webui-db,global-3d-modal-container,empty -> no modal,LRU + Redis,verify_api_user,complete
FE-063,Interval-based prefetch (900s),multiple GETs,multiple,many,N/A,logged,LRU + Redis,verify_api_user,complete
FE-065,advance to floor map (timer),GET /api/v1/datacenters/{dc_code}/racks + /api/v1/datacenters/{dc_code},dc_service.get_dc_racks + get_dc_details,webui-db + bulutlake,floor-map-layer.children,empty racks -> empty floor,LRU + Redis,verify_api_user,complete
FE-067,floor map rack click,GET /api/v1/datacenters/{dc_code}/racks/{rack_name}/devices,dc_service.get_rack_devices,discovery_rack.DEVICES_IN_RACK,floor-map-rack-detail,empty devices -> 'No devices' state,LRU + Redis,verify_api_user,complete
FE-071,region select → detail,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake batches,global-detail-panel,empty list,LRU + Redis,verify_api_user,complete
FE-073,page-load customer_view (list),GET /api/v1/customers,customer_service.get_customer_list,customer.CUSTOMER_NAME_LIST (bulutlake),customer-select options,_EMPTY_CUSTOMERS fallback,LRU + Redis(db=1),verify_api_jwt + can_view(customer_view),complete
FE-074,page-load customer_view (resources),GET /api/v1/customers/{name}/resources,customer_service.get_customer_resources,composite via customer_adapter (bulutlake/discovery_infrastructure_*),customer KPI grid + asset tables,_EMPTY_CUSTOMER fallback,LRU + Redis(db=1) (TTL 900s),verify_api_jwt,complete
FE-075,page-load customer_view (S3),GET /api/v1/customers/{name}/s3/vaults,customer_service.get_customer_s3_vaults,s3.VAULT_LIST + LATEST + FIRST_LAST,s3 vault selector + panel,empty vaults,LRU + Redis(db=1),verify_api_jwt,complete
FE-076,page-load customer_view (ITSM),GET /api/v1/customers/{name}/itsm/summary,itsm_service.get_summary,itsm.ITSM_SUMMARY,itsm summary cards,_EMPTY_ITSM_SUMMARY,LRU + Redis(db=1),verify_api_jwt,complete
FE-077,page-load customer_view (ITSM),GET /api/v1/customers/{name}/itsm/extremes,itsm_service.get_extremes,itsm.ITSM_EXTREMES,itsm extremes tables,_EMPTY_ITSM_EXTREMES,LRU + Redis(db=1),verify_api_jwt,complete
FE-078,page-load customer_view (ITSM),GET /api/v1/customers/{name}/itsm/tickets,itsm_service.get_tickets,itsm.ITSM_TICKETS,itsm tickets table,empty list,LRU + Redis(db=1),verify_api_jwt,complete
FE-079,page-load customer_view (Sales),GET /api/v1/customers/{name}/sales/summary,sales_service.get_sales_summary,crm_sales.SALES_SUMMARY + service_mapping,sales KPI cards,empty dict,LRU + Redis(db=1),verify_api_jwt,complete
FE-080,page-load customer_view (Sales),GET /api/v1/customers/{name}/sales/items,sales_service.get_sales_items,crm_sales.SALES_ITEMS,sales items table,empty list,LRU + Redis(db=1),verify_api_jwt,complete
FE-081,page-load customer_view (Sales),GET /api/v1/customers/{name}/sales/efficiency,sales_service.get_sales_efficiency,crm_sales.SALES_EFFICIENCY_BILLED + CATALOG_PRICES,sales efficiency table,empty list,LRU + Redis(db=1),verify_api_jwt,complete
FE-082,page-load customer_view (Catalog Valuation),GET /api/v1/customers/{name}/sales/catalog-valuation,sales_service.get_catalog_valuation,crm_sales.SALES_CATALOG_PRICES,catalog valuation table,empty list,LRU + Redis(db=1),verify_api_jwt,partial (productpricelevels may be empty)
FE-083,page-load customer_view (Efficiency by Category),GET /api/v1/customers/{name}/sales/efficiency-by-category,sales_service.get_efficiency_by_category,crm_sales.SALES_SOLD_RAW_BY_PRODUCT + customer_assets,efficiency-by-category card,empty list,LRU + Redis(db=1),verify_api_jwt,complete
FE-084,page-load customer_view (Availability),external GET /api/customers/list + /downtimes,auranotify_client.get_customer_availability_bundle (direct from GUI),AuraNotify external,availability badges + cards,_empty_bundle fallback + last-good in-memory TTL,in-memory TTL (CUSTOMER_AVAIL_TTL_SECONDS=900s),X-API-Key (AuraNotify),complete
FE-085,s3 vault selector change,GET /api/v1/customers/{name}/s3/vaults,customer_service.get_customer_s3_vaults,s3.VAULT_LIST,s3-customer-metrics-panel,empty vaults -> html.Div(),LRU + Redis(db=1),verify_api_jwt,complete
FE-087,page-load customers_list,GET /api/v1/customers,customer_service.get_customer_list,customer.CUSTOMER_NAME_LIST,customers-cards-grid,empty list,LRU + Redis(db=1),verify_api_jwt + can_view(customers),complete
FE-088,page-load customers_list,GET /api/v1/physical-inventory/customer,dc_service.get_physical_inventory_customer,discovery_rack.PHYSICAL_INVENTORY_CUSTOMER (webui-db),customer-cards-grid (with device count),empty list,LRU + webui-db cache,verify_api_user,complete
FE-094,query_explorer Run click,GET /api/v1/queries/{key},query_service.execute_registered_query,registry.lookup -> queries/{module}.py fetcher (bulutlake),run-output + qe-result-store,_EMPTY_QUERY fallback,LRU + Redis,verify_api_user,complete
FE-099,page-load crm_sellable_potential,GET /api/v1/crm/sellable-potential/summary,sellable_service.compute_summary,webui-db + dc-api compute,sellable dashboard layout,empty dict,LRU + Redis(db=2),verify_api_user + can_view(crm),complete
FE-100,DC select change crm_sellable,GET /api/v1/crm/sellable-potential/summary + /by-panel,sellable_service (composite),webui-db + dc-api compute,sellable-store-summary + panels,empty,LRU + Redis(db=2),verify_api_user,complete
FE-101,metric trend select,GET /api/v1/crm/metric-tags/snapshots,sellable_service.list_metric_snapshots,gui_panel_metric_snapshot,sellable-trend-chart,empty list,LRU + Redis(db=2),verify_api_user,complete
FE-103,page-load availability_annual,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake batches,annual layout DC selector,empty list,LRU + Redis,verify_api_user + can_view(availability),complete
FE-104,year/dc select,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability,AuraNotify external,annual heatmap + cards,empty items,LRU + Redis,verify_api_user,complete
FE-105,page-load region_drilldown,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake batches,region layout,empty list,LRU + Redis,verify_api_user,partial (page is mostly static; needs runtime verification)
FE-107,Cache refresh click,POST /api/v1/admin/cache/refresh × 3 (dc + cust + crm),admin_cache.refresh_cache (each service),per-service caches + warmers,settings-cache-refresh-feedback,per-service exception captured into result dict,full Redis flush per service + LRU clear,verify_api_user (and likely require_admin role - assumption),complete
FE-108,Open user create panel,GET /api/v1/users/{user_id},admin-api users.get_user_detail,users + user_roles + team_members (auth-db),user form modal,no body -> empty form,no cache,verify_api_jwt (admin-api),complete
FE-109,Edit user click,GET /api/v1/users/{user_id},admin-api users.get_user_detail,users + user_roles + team_members,user form modal,empty,no cache,verify_api_jwt,complete
FE-110,AD search click,GET /api/v1/ldap/search,admin-api ldap.ldap_search_users,LDAP external (ldap_config),ad-search-results-store,empty list,no cache,verify_api_jwt,complete
FE-111,AD import click,POST /api/v1/users/import-ldap,admin-api users.import_ldap_users,users + user_roles + team_members,ad-import-feedback,error dict,no cache,verify_api_jwt,complete
FE-112,Save user create,POST /api/v1/users + PUT roles + teams,admin-api users.create_user / set_user_roles / set_user_teams,users + user_roles + team_members,iam-user-form-feedback + url.search refresh,error message in feedback,no cache,verify_api_jwt,complete
FE-113,Save user update,PUT /api/v1/users/{id} + PUT roles + teams,admin-api users.update_user / set_user_roles / set_user_teams,users + user_roles + team_members,feedback,error message,no cache,verify_api_jwt,complete
FE-114,Open team panel,GET /api/v1/teams,admin-api teams.list_teams,teams + team_members + users + team_roles,iam-team-panel-store,empty list,no cache,verify_api_jwt,complete
FE-115,Save team click (create/update),POST /api/v1/teams or PUT /api/v1/teams/{id},admin-api teams.create_team / update_team,teams + team_roles,feedback + url refresh,error message,no cache,verify_api_jwt,complete
FE-116,Open team members modal,GET /api/v1/teams/{id}/members,admin-api teams.list_team_members,team_members + users,iam-team-members-modal,empty list,no cache,verify_api_jwt,complete
FE-117,Remove team member,DELETE /api/v1/teams/{tid}/members/{uid},admin-api teams.remove_team_member,team_members,iam-team-members-list,error message,no cache,verify_api_jwt,complete
FE-118,Add team members,POST /api/v1/teams/{tid}/members,admin-api teams.add_team_members,team_members,iam-team-members-list,error message,no cache,verify_api_jwt,complete
FE-119,Save role matrix,POST /api/v1/roles/{role_id}/matrix,admin-api roles.set_role_matrix,role_permissions,role-matrix-feedback,error message,no cache,verify_api_jwt,complete
FE-120,Open role edit modal,GET /api/v1/roles,admin-api roles.list_roles,roles,iam-role-edit-modal,empty list,no cache,verify_api_jwt,complete
FE-121,Save role edit,PUT /api/v1/roles/{role_id},admin-api roles.update_role,roles,feedback,error message,no cache,verify_api_jwt,complete
FE-122,Delete role click,DELETE /api/v1/roles/{role_id},admin-api roles.delete_role,roles,feedback,error message,no cache,verify_api_jwt,complete
FE-123,LDAP test connection click,POST /api/v1/ldap/test,admin-api ldap.ldap_test_connection,LDAP external + ldap_config,ldap-test-feedback,error message,no cache,verify_api_jwt,complete
FE-124,page-load LDAP settings,GET /api/v1/ldap,admin-api ldap.list_ldap_configs,ldap_config,LDAP form pre-filled,empty list,no cache,verify_api_jwt,complete
FE-125,Save LDAP config (form submit),POST /api/v1/ldap,admin-api ldap.upsert_ldap_config,ldap_config,LDAP page feedback,error message,no cache,verify_api_jwt,partial (callback wiring unconfirmed in pages — could be Flask form)
FE-127,Add LDAP mapping,POST /api/v1/ldap/{ldap_id}/mappings,admin-api ldap.add_ldap_mapping,ldap_group_role_mapping,mapping table refresh,error message,no cache,verify_api_jwt,partial (callback wiring unconfirmed)
FE-128,Delete LDAP mapping,DELETE /api/v1/ldap/mappings/{mapping_id},admin-api ldap.delete_ldap_mapping,ldap_group_role_mapping,mapping table refresh,error message,no cache,verify_api_jwt,partial (callback wiring unconfirmed)
FE-129,Save alias click,PUT /api/v1/crm/aliases/{crm_accountid},customer-api sales.update_alias -> sales_service.upsert_alias,gui_crm_customer_alias (webui-db),alias-feedback + invalidates api:crm_aliases LRU,error message,LRU prefix delete after PUT,verify_api_jwt,complete
FE-130,Delete alias click,DELETE /api/v1/crm/aliases/{crm_accountid},customer-api sales.delete_alias,gui_crm_customer_alias,alias-feedback + invalidates LRU,error message,LRU prefix delete,verify_api_jwt,complete
FE-131,page-load CRM Aliases,GET /api/v1/crm/aliases + /api/v1/customers,customer-api sales.list_aliases + customer_service.get_customer_list,gui_crm_customer_alias + bulutlake,aliases table,empty list,LRU + Redis(db=1),verify_api_jwt,complete
FE-133,Save service mapping (PUT or DELETE override depending on selection),PUT /api/v1/crm/service-mapping/{productid},crm-engine service_mapping.upsert_mapping -> sales_service.upsert_service_mapping_override,gui_service_mapping_override (webui-db),svcmap-feedback + svcmap-table refresh,error message,LRU prefix delete (api:crm_service_mappings),verify_api_user,complete
FE-134,Reset service mapping override,DELETE /api/v1/crm/service-mapping/{productid}/override,crm-engine service_mapping.delete_override,gui_service_mapping_override,svcmap-feedback + svcmap-table refresh,error message,LRU prefix delete,verify_api_user,complete
FE-135,page-load CRM Service Mapping,GET /api/v1/crm/service-mapping + /pages,crm-engine sales_service.list_service_mappings + list_service_pages,datalake (crm_service_mapping) + webui-db (overrides),svcmap-table,empty list,LRU + Redis(db=2),verify_api_user,complete
FE-136,Save threshold click,PUT /api/v1/crm/config/thresholds,crm-engine crm_config.upsert_threshold,gui_panel_threshold,thr-msg,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-137,Delete threshold click,DELETE /api/v1/crm/config/thresholds/{threshold_id},crm-engine crm_config.delete_threshold,gui_panel_threshold,thr-del-msg,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-138,page-load CRM Thresholds,GET /api/v1/crm/config/thresholds + /api/v1/crm/panels,crm-engine crm_config.list_thresholds + sellable.list_panels,gui_panel_threshold + gui_panel_definition,thr-table + pnl-table,empty list,LRU + Redis(db=2),verify_api_user,complete
FE-139,Save panel definition,PUT /api/v1/crm/panels/{panel_key},crm-engine sellable.upsert_panel,gui_panel_definition,pnl-msg + pnl-table,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-140,page-load CRM Panels,GET /api/v1/crm/panels,crm-engine sellable.list_panels,gui_panel_definition,pnl-table,empty list,LRU + Redis(db=2),verify_api_user,complete
FE-141,Save infra source,PUT /api/v1/crm/panels/{panel_key}/infra-source,crm-engine sellable.upsert_infra_source,gui_panel_infra_source,ifs-msg + ifs-table,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-142,page-load CRM Infra Sources,GET /api/v1/crm/panels/{key}/infra-source + /api/v1/crm/panels,crm-engine sellable.get_infra_source + list_panels,gui_panel_infra_source + gui_panel_definition,ifs-table,empty,LRU + Redis(db=2),verify_api_user,complete
FE-143,Save resource ratio,PUT /api/v1/crm/resource-ratios/{family},crm-engine sellable.upsert_ratio,gui_panel_resource_ratio,rr-msg + rr-table,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-145,Save unit conversion,PUT /api/v1/crm/unit-conversions/{from}/{to},crm-engine sellable.upsert_unit_conversion,gui_unit_conversion,uc-msg + uc-table,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-146,Delete unit conversion,DELETE /api/v1/crm/unit-conversions/{from}/{to},crm-engine sellable.delete_unit_conversion,gui_unit_conversion,uc-del-msg + uc-table,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-148,Save calc config click,PUT /api/v1/crm/config/variables/{config_key},crm-engine crm_config.upsert_variable,gui_calc_config,calc-msg,error message,LRU delete,verify_api_user,complete
FE-149,page-load CRM Calc Config,GET /api/v1/crm/config/variables,crm-engine crm_config.list_variables,gui_calc_config,calc-config form,empty list,LRU + Redis(db=2),verify_api_user,complete
FE-150,Save price override click,PUT /api/v1/crm/config/price-overrides/{productid},crm-engine crm_config.upsert_price_override,gui_price_override,po-msg,error message,LRU prefix delete + invalidate sellable LRU,verify_api_user,complete
FE-152,page-load CRM Overview,GET /api/v1/crm/config/discovery-counts,crm-engine crm_config.list_discovery_counts,discovery_crm_* (datalake),crm-overview cards,empty list,LRU + Redis(db=2),verify_api_user,partial (page wiring not deeply read - assumption)
FE-153,page-load AuraNotify settings,external GET /api/sla/datacenter-services (assumption),auranotify_client.get_dc_services_availability,external AuraNotify,settings page tables,empty list,no cache,X-API-Key,partial (assumption — page not deeply read)
FE-154,page-load Audit,GET /api/v1/audit,admin-api audit.list_audit,audit_log + users,audit list,empty list,no cache,verify_api_jwt,complete
FE-155,page-load Permissions,GET /api/v1/permissions,admin-api permissions.list_permissions,permissions,permissions list,empty list,no cache,verify_api_jwt,complete
FE-156,page-load Auth Settings,N/A,N/A,N/A,settings UI,N/A,N/A,N/A,missing (page renders static layout; runtime behavior unconfirmed)
FE-158,Scheduler 15m refresh,direct DB (db_service.refresh_all_data),local PG (bulutlake) via psycopg2 pool,many tables,N/A,logged,LRU + Redis,N/A,complete
FE-159,Scheduler customer warm (15m),GET /api/v1/customers/{name}/resources for WARMED_CUSTOMERS × ranges,customer_service.get_customer_resources,bulutlake composite,N/A,logged,LRU + Redis(db=1),JWT not present (called from non-request thread - assumption),complete
FE-160,Scheduler AuraNotify warm (15m),external,auranotify_client,external,N/A,logged,in-memory TTL,X-API-Key,complete
FE-161,Scheduler SLA warm (60m),GET /api/v1/sla,sla_service.refresh_sla_cache,external SLA + Redis,N/A,logged,Redis,N/A,complete
FE-165,Worker-local AuraNotify warm (startup),external,auranotify_client,external,N/A,logged warning,in-memory TTL,X-API-Key,complete
FE-094-q01,Query Run: nutanix_host_count,GET /api/v1/queries/nutanix_host_count,query_service.execute_registered_query -> queries/nutanix.py::HOST_COUNT,nutanix_cluster_metrics,run-output,error in QueryResult,LRU + Redis,verify_api_user,complete
FE-094-q02,Query Run: nutanix_batch_*,GET /api/v1/queries/nutanix_batch_*,registry -> queries/nutanix.py::BATCH_*,nutanix_cluster_metrics,run-output,error in QueryResult,LRU + Redis,verify_api_user,complete
FE-094-q03,Query Run: vmware_*,GET /api/v1/queries/vmware_*,registry -> queries/vmware.py,datacenter_metrics,run-output,error,LRU + Redis,verify_api_user,complete
FE-094-q04,Query Run: ibm_*,GET /api/v1/queries/ibm_*,registry -> queries/ibm.py,ibm_server_general/vios_general/lpar_general,run-output,error,LRU + Redis,verify_api_user,complete
FE-094-q05,Query Run: energy_*,GET /api/v1/queries/energy_*,registry -> queries/energy.py,ibm_server_power + vmhost_metrics,run-output,error,LRU + Redis,verify_api_user,complete
FE-094-q06,Query Run: customer_*,GET /api/v1/queries/customer_*,registry -> queries/customer.py,nutanix/vmware/ibm/vmhost tables,run-output,error,LRU + Redis,verify_api_user,complete
